model,term,coef,se,pval,ci_lower,ci_upper
s1_deaths,shock_bp_q,24.368291317450478,8.263918089237988,0.003426170777105082,8.17101186254402,40.565570772356935
s1_deaths,time_trend,3.9070263662986817,0.385526346002811,4.152417447259492e-21,3.1513947281331722,4.662658004464191
s2_deaths,shock_bp_q,35.16610434581849,8.803019423152959,8.202757823602691e-5,17.91218627643869,52.42002241519829
s2_deaths,time_trend,4.788174102654327,0.417637558546588,2.2561333627840645e-25,3.969604487903015,5.60674371740564
s2_deaths,unemp_q,12.947144044038097,2.8494352805057157,8.097937703645308e-6,7.362250894246895,18.5320371938293
s1_hosp,shock_bp_q,10.113932361207981,4.7561925512439664,0.03427972851802751,0.7917949607698063,19.436069761646156
s1_hosp,time_trend,0.9381181026796177,0.2255959120783561,4.187584410740872e-5,0.49595011500603975,1.3802860903531957
s2_hosp,shock_bp_q,14.353011943299395,5.4877801000864395,0.009421791851029633,3.596962947129974,25.109060939468815
s2_hosp,time_trend,1.225632509132701,0.2612010493631682,4.334184319212869e-6,0.7136784523808913,1.7375865658845107
s2_hosp,unemp_q,3.863909690687932,1.7976966163740637,0.03251092012917102,0.3404243225947674,7.387395058781097
